DateTime,Average USD,Sales USD
2018-03-02 0:00,17.84,76904.82
2018-03-03 0:00,19.05,83396.21
2018-03-04 0:00,42.2,213830.4
2018-03-05 0:00,30.83,134281.72
2018-03-06 0:00,31.79,119340.59
2018-03-07 0:00,35.15,164663.54
2018-03-08 0:00,15.06,99844.18
2018-03-09 0:00,15.18,89045.01
2018-03-10 0:00,10.6,96450.65
2018-03-11 0:00,14.89,64750.69
2018-03-12 0:00,14.41,68839.11
2018-03-13 0:00,16.94,62559.95
2018-03-14 0:00,12.77,55822.6
2018-03-15 0:00,10.27,39693.67
2018-03-16 0:00,15.02,46032.73
2018-03-17 0:00,13.53,50194.4
2018-03-18 0:00,14.11,39320.9
2018-03-19 0:00,16.84,52077.77
2018-03-20 0:00,71.14,215757.85
2018-03-21 0:00,77.68,259445.59
2018-03-22 0:00,41.5,139489.38
2018-03-23 0:00,94.2,292288.42
2018-03-24 0:00,37.56,117257.6
2018-03-25 0:00,18.14,113816.29
2018-03-26 0:00,31.95,96156.47
2018-03-27 0:00,31.14,104017.96
2018-03-28 0:00,53.17,189591.41
2018-03-29 0:00,23.7,88095.31
2018-03-30 0:00,37.71,212948.94
2018-03-31 0:00,25.93,77958.16
2018-04-01 0:00,26.31,73275.51
2018-04-02 0:00,19.6,60061.69
2018-04-03 0:00,24.25,75839.1
2018-04-04 0:00,17.1,49102.55
2018-04-05 0:00,23.21,62693.11
2018-04-06 0:00,18.08,67258.34
2018-04-07 0:00,15.5,41457.95
2018-04-08 0:00,9.49,70478.41
2018-04-09 0:00,9.19,48037.96
2018-04-10 0:00,16.26,52436.45
2018-04-11 0:00,20.59,69635.99
2018-04-12 0:00,14.91,42933.53
2018-04-13 0:00,15.04,91157.76
2018-04-14 0:00,17.63,85272.87
2018-04-15 0:00,23.29,90824.77
2018-04-16 0:00,16.3,60488.62
2018-04-17 0:00,16.71,83907.8
2018-04-18 0:00,16.13,66086.5
2018-04-19 0:00,15.57,59367.72
2018-04-20 0:00,12.33,49424.84
2018-04-21 0:00,17.98,45728.43
2018-04-22 0:00,27.83,49485.47
2018-04-23 0:00,85.44,155678.62
2018-04-24 0:00,37.38,82358.96
2018-04-25 0:00,41.43,93725.36
2018-04-26 0:00,34.22,60775.97
2018-04-27 0:00,18.23,59185.14
2018-04-28 0:00,11.69,59103.74
2018-04-29 0:00,10.18,99944.51
