DateTime,Number of sales,Active market wallets
2018-04-25 0:00,2262,672
2018-04-26 0:00,1776,625
2018-04-27 0:00,3247,696
2018-04-28 0:00,5054,612
2018-04-29 0:00,9817,658
2018-04-30 0:00,3238,703
2018-05-01 0:00,2129,679
2018-05-02 0:00,2019,604
2018-05-03 0:00,1636,561
2018-05-04 0:00,2758,653
2018-05-05 0:00,3429,578
2018-05-06 0:00,2765,661
2018-05-07 0:00,2685,661
2018-05-08 0:00,3651,736
2018-05-09 0:00,2333,596
2018-05-10 0:00,2045,593
2018-05-11 0:00,2443,543
2018-05-12 0:00,2235,555
2018-05-13 0:00,1767,542
2018-05-14 0:00,1389,479
2018-05-15 0:00,1624,528
2018-05-16 0:00,2430,634
2018-05-17 0:00,3854,552
2018-05-18 0:00,3354,501
2018-05-19 0:00,3616,515
2018-05-20 0:00,2623,545
2018-05-21 0:00,1803,533
2018-05-22 0:00,1827,528
2018-05-23 0:00,1687,472
2018-05-24 0:00,3002,758
2018-05-25 0:00,2263,838
2018-05-26 0:00,2706,748
2018-05-27 0:00,2797,752
2018-05-28 0:00,2047,626
2018-05-29 0:00,4070,643
2018-05-30 0:00,4484,705
2018-05-31 0:00,3294,672
2018-06-01 0:00,2798,708
2018-06-02 0:00,2856,606
2018-06-03 0:00,2283,570
2018-06-04 0:00,2150,587
2018-06-05 0:00,2475,556
2018-06-06 0:00,1960,612
2018-06-07 0:00,2130,584
2018-06-08 0:00,2022,579
2018-06-09 0:00,2749,540
2018-06-10 0:00,2015,520
2018-06-11 0:00,3276,630
2018-06-12 0:00,2740,662
2018-06-13 0:00,2168,684
2018-06-14 0:00,1869,539
2018-06-15 0:00,5203,615
2018-06-16 0:00,2303,502
2018-06-17 0:00,2378,602
2018-06-18 0:00,2657,715
2018-06-19 0:00,2643,705
2018-06-20 0:00,1871,646
2018-06-21 0:00,2967,732
2018-06-22 0:00,5060,717
2018-06-23 0:00,2895,590
2018-06-24 0:00,2935,564
2018-06-25 0:00,2475,567
2018-06-26 0:00,2247,584
2018-06-27 0:00,2368,658
2018-06-28 0:00,2547,626
2018-06-29 0:00,3221,722
2018-06-30 0:00,2381,546
2018-07-01 0:00,1314,380
2018-07-02 0:00,689,267
2018-07-03 0:00,616,278
2018-07-04 0:00,748,295
2018-07-05 0:00,948,366
2018-07-06 0:00,1668,297
2018-07-07 0:00,1255,272
2018-07-08 0:00,1767,441
2018-07-09 0:00,2770,519
2018-07-10 0:00,2009,480
2018-07-11 0:00,2395,612
2018-07-12 0:00,2976,566
2018-07-13 0:00,3794,581
2018-07-14 0:00,1581,315
2018-07-15 0:00,1371,419
2018-07-16 0:00,2170,546
2018-07-17 0:00,1884,623
2018-07-18 0:00,1800,553
2018-07-19 0:00,1971,560
2018-07-20 0:00,1716,620
2018-07-21 0:00,2201,541
2018-07-22 0:00,2104,566
2018-07-23 0:00,2161,629
2018-07-24 0:00,1848,654
2018-07-25 0:00,2422,603
2018-07-26 0:00,3361,707
2018-07-27 0:00,4089,725
2018-07-28 0:00,3040,586
2018-07-29 0:00,2191,563
2018-07-30 0:00,1798,588
2018-07-31 0:00,2022,594
2018-08-01 0:00,2525,578
2018-08-02 0:00,2324,730
2018-08-03 0:00,1737,658
2018-08-04 0:00,1984,662
2018-08-05 0:00,1759,644
2018-08-06 0:00,1583,666
2018-08-07 0:00,1383,617
2018-08-08 0:00,1460,406
